duration_hours,duration_days,pr_number,pr_id,state,merged,draft,created_at,closed_at,merged_at,updated_at,ready_for_review_time,workflow_start_time,author_login,author_id,merged_by_login,reviewer_count,reviewers,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,first_review_time,first_approval_time,time_to_first_review_hours,time_to_first_approval_hours,timeline_event_count,commit_count_timeline,comment_count_timeline,review_requested_count,title,title_length,body_length,repo_language,body_length_cleaned,description,description_length,is_bug_fix,is_new_feature,is_update,is_refactor,is_backend,is_frontend,task_id,title_cleaned,images_count,videos_count,is_bug_fix,is_new_feature,is_update,is_refactor,is_backend,is_frontend,body_cleaned_v2,body_length_cleaned_v2,description_v2,description_length_v2,title_cleaned_v2
67.79638888888888,2.824849537037037,500,2834092739,closed,True,False,2025-09-16T19:11:27Z,2025-09-19T14:59:14Z,2025-09-19T14:59:14Z,2025-09-19T14:59:16Z,,2025-09-16T19:11:27+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],122,34,7,4,156,1,4,2,1,1,0,0,2025-09-16T21:43:39+00:00,2025-09-18T21:28:06+00:00,2.5366666666666666,50.2775,20,4,1,7,956 FE: Obavijesti,18,1200,TypeScript,1167,"Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)",352,False,False,True,False,False,True,acE7qbOk,956 FE: Obavijesti,2,0,False,False,True,False,False,True,"# Description

Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)",367,"Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)",352,956 FE: Obavijesti
16.541666666666668,0.6892361111111112,501,2834388820,closed,True,False,2025-09-16T21:11:03Z,2025-09-17T13:43:33Z,2025-09-17T13:43:33Z,2025-09-17T13:43:35Z,,2025-09-16T21:11:03+00:00,[user_6],6,[user_6],1,[user_3],31,8,2,4,39,0,0,1,1,0,0,0,2025-09-17T11:23:54+00:00,2025-09-17T11:23:54+00:00,14.214166666666667,14.214166666666667,11,4,0,1,949 fe ubaciti crvene zvjezdice na obavezna polja,49,685,TypeScript,656,Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.,139,True,False,False,False,False,True,sPLfBnsE,949 fe ubaciti crvene zvjezdice na obavezna polja,0,0,True,False,False,False,False,True,"# Description

Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.",154,Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.,139,949 fe ubaciti crvene zvjezdice na obavezna polja
0.0019444444444444444,8.101851851851852e-05,502,2834473692,closed,True,False,2025-09-16T21:54:18Z,2025-09-16T21:54:25Z,2025-09-16T21:54:25Z,2025-09-16T21:54:27Z,2025-09-16T21:54:21Z,2025-09-16T21:54:18+00:00,[user],[user_id],[user],0,,1,1,1,1,2,0,0,0,0,0,0,0,,,,,7,1,0,0,chroe: nullable sent to production,34,821,TypeScript,156,,0,True,False,False,False,False,False,TASK_ID,chroe: nullable sent to production,0,0,True,False,False,False,False,False,,0,,0,chroe: nullable sent to production
150.9225,6.288437500000001,503,2836501513,closed,True,False,2025-09-17T12:48:01Z,2025-09-23T19:43:22Z,2025-09-23T19:43:22Z,2025-09-23T19:43:24Z,,2025-09-17T12:48:01+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],50,3,6,5,53,0,4,8,3,5,0,0,2025-09-18T13:11:04+00:00,2025-09-20T20:21:50+00:00,24.384166666666665,79.56361111111111,21,5,0,6,893 FE: User changes,20,722,TypeScript,693,Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.,202,False,False,True,False,False,True,qJNt6ejM,893 FE: User changes,0,0,False,False,True,False,False,True,"# Description

Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.",217,Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.,202,893 FE: User changes
286.0997222222222,11.92082175925926,504,2836742631,closed,True,False,2025-09-17T13:57:09Z,2025-09-29T12:03:08Z,2025-09-29T12:03:08Z,2025-09-29T12:03:10Z,,2025-09-17T13:57:09+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],74,7,2,14,81,2,9,11,3,7,1,0,2025-09-18T21:14:52+00:00,2025-09-18T21:14:52+00:00,31.295277777777777,31.295277777777777,44,14,2,10,937 FE: Prodajni kanal kao obvezno polje,40,665,TypeScript,636,Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.,121,False,False,True,False,False,True,hjVvm6C2,937 FE: Prodajni kanal kao obvezno polje,0,0,False,False,True,False,False,True,"# Description

Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.",136,Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.,121,937 FE: Prodajni kanal kao obvezno polje
188.59055555555557,7.857939814814816,505,2837054974,closed,True,False,2025-09-17T15:24:05Z,2025-09-25T11:59:32Z,2025-09-25T11:59:31Z,2025-09-25T11:59:33Z,2025-09-19T12:51:29Z,2025-09-17T15:24:05+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],217,82,21,16,299,1,1,3,2,1,0,0,2025-09-18T13:21:45+00:00,2025-09-24T09:48:39+00:00,21.961111111111112,162.40944444444443,34,16,1,6,916 FS Odvajanje datuma i vremena,33,754,TypeScript,724,"Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi. Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone.",197,False,False,True,False,True,True,jAWUSW5z,916 FS Odvajanje datuma i vremena,0,0,False,False,True,False,True,True,"# Description

Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi.
Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone.",212,"Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi. Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone.",197,916 FS Odvajanje datuma i vremena
161.54638888888888,6.731099537037037,506,2837095781,closed,True,False,2025-09-17T15:36:10Z,2025-09-24T09:08:57Z,2025-09-24T09:08:57Z,2025-09-24T09:08:59Z,,2025-09-17T15:36:10+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],79,30,7,2,109,0,6,9,3,6,0,0,2025-09-18T11:30:06+00:00,2025-09-18T11:30:06+00:00,19.898888888888887,19.898888888888887,21,2,0,7,940 FE: EmptyState komponenta,29,641,TypeScript,612,Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.,115,False,False,False,True,False,True,5H4j06TF,940 FE: EmptyState komponenta,0,0,False,False,False,True,False,True,"# Description

Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.",130,Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.,115,940 FE: EmptyState komponenta
947.9758333333333,39.49899305555555,507,2838029469,closed,True,False,2025-09-17T21:38:42Z,2025-10-27T09:37:16Z,2025-10-27T09:37:15Z,2025-10-27T09:37:18Z,2025-09-24T10:03:15Z,2025-09-17T21:38:42+00:00,[user_6],6,[user_2],6,[user_2]|[user_4]|[user]|[user_6]|[user_7]|[user_3],155,14,7,30,169,6,14,14,4,10,0,0,2025-09-18T22:26:01+00:00,2025-09-24T18:35:03+00:00,24.788611111111113,164.93916666666667,63,30,6,7,918 fs razlog odbijanja,23,930,TypeScript,901,"Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.",368,False,False,True,False,True,True,4fNQKQgS,918 fs razlog odbijanja,0,0,False,False,True,False,True,True,"# Description

Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.",383,"Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.",368,918 fs razlog odbijanja
138.23944444444444,5.759976851851852,508,2840605253,closed,True,False,2025-09-18T14:54:05Z,2025-09-24T09:08:27Z,2025-09-24T09:08:27Z,2025-09-24T09:08:28Z,,2025-09-18T14:54:05+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],39,10,4,3,49,0,2,5,3,2,0,0,2025-09-18T17:03:52+00:00,2025-09-18T17:03:52+00:00,2.1630555555555557,2.1630555555555557,19,3,0,7,944 FE: Dodati checkbox filter na događajima,44,618,TypeScript,589,"Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.",85,False,False,True,False,False,True,uJGXwypN,944 FE: Dodati checkbox filter na događajima,0,0,False,False,True,False,False,True,"# Description

Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.",100,"Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.",85,944 FE: Dodati checkbox filter na događajima
137.3311111111111,5.72212962962963,509,2840812541,closed,True,False,2025-09-18T15:49:30Z,2025-09-24T09:09:22Z,2025-09-24T09:09:22Z,2025-09-24T09:09:24Z,,2025-09-18T15:49:30+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],24,23,2,3,47,0,1,4,3,1,0,0,2025-09-18T20:54:57+00:00,2025-09-18T20:54:57+00:00,5.090833333333333,5.090833333333333,19,3,0,7,952 FE: Centriranje headera kalendara,37,676,TypeScript,646,"Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.",132,False,False,False,True,False,True,ZpMS6xgV,952 FE: Centriranje headera kalendara,0,0,False,False,False,True,False,True,"# Description

Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.",147,"Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.",132,952 FE: Centriranje headera kalendara
